0,1
1,Teh protection of food products takes center stage
2,Teh food product-package is one inseparable unit
3,"For food packaging both direct and indirect sustainability efefcts must
be considered"
4,"Food packaging is a resource, not litter"
5,Avoidance of food packaging is not always the best option
6,"Sustainable food packaging development, in practice, is a balancing act"
7,"Multidisciplinary approach is needed to create sustainable food packaging
solutions"
8,Not all food packaging innovation is sustainable
9,Context (local) is key to food packaging sustainability
10,"Regulatory landscape of sustainable food packaging is not fully
comprehensive"
11,"Consumer knowledge and awareness on sustainable food packaging is
limited"
12,"Food packaging is an information source on both product and packaging
sustainability"
